movie_id,genre_id
58,28
286217,878
286217,18
286217,12
12444,12
12444,14
315162,16
315162,12
315162,14
315162,35
315162,10751
2062,16
2062,35
2062,10751
2062,14
228150,10752
228150,18
228150,28
949,80
949,18
949,28
12,16
12,10751
12,12
99861,28
99861,12
99861,878
675,12
675,14
37165,35
37165,18
603692,28
603692,53
603692,80
1363123,28
1363123,35
81774,35
81774,18
73861,80
73861,27
73861,53
1396,18
1396,36
1401778,53
1401778,28
1401778,12
1401778,18
1401778,14
412117,10751
412117,35
412117,12
412117,16
5879,18
5879,10749
1007734,28
1007734,53
1317672,10749
1317672,18
11036,10749
11036,18
1495,18
1495,28
1495,12
1495,36
1495,10752
271110,12
271110,28
271110,878
985939,53
10681,16
10681,10751
10681,878
39254,28
39254,878
39254,18
1071585,28
1071585,878
1071585,53
2288,18
2288,10749
967941,14
967941,12
967941,10749
573435,28
573435,35
573435,80
1317149,18
1317149,36
14160,16
14160,35
14160,10751
14160,12
1317149,18
1317149,36
82693,18
82693,35
82693,10749
866398,28
866398,80
866398,53
